year,name,femScale,pressure,category,deaths,damage,gender
1950,Easy,6.7777801,960,3,2,1590,Female
1950,King,1.38889,955,3,4,5350,Male
1952,Able,3.8333299,985,1,3,150,Male
1953,Barbara,9.8333302,987,1,1,58,Female
1953,Florence,8.3333302,985,1,0,15,Female
1954,Carol,8.1111097,960,3,60,19321,Female
1954,Edna,8.5555601,954,3,20,3230,Female
1954,Hazel,9.4444399,938,4,20,24260,Female
1955,Connie,8.5,962,3,0,2030,Female
1955,Diane,9.8888903,987,1,200,14730,Female
1955,Ione,5.9444399,960,3,7,6200,Female
1956,Flossy,7,975,2,15,1540,Female
1957,Audrey,,,,416,,Female
1958,Helene,9.8888903,946,3,1,540,Female
1959,Debra,9.8888903,984,1,0,430,Female
1959,Gracie,9.7777796,950,3,22,510,Female
1960,Donna,9.2777796,930,4,50,53270,Female
1960,Ethel,8.7222204,981,1,0,35,Female
1961,Carla,9.5,931,4,46,15850,Female
1963,Cindy,9.9444399,996,1,3,300,Female
1964,Cleo,7.9444399,968,2,3,6450,Female
1964,Dora,9.3333302,966,2,5,16260,Female
1964,Hilda,8.8333302,950,3,37,2770,Female
1964,Isbell,9.4444399,974,2,3,800,Female
1965,Betsy,8.3333302,948,3,75,20000,Female
1966,Alma,8.7777796,982,2,6,730,Female
1966,Inez,8.2777796,983,1,3,99,Female
1967,Beulah,7.2777801,950,3,15,5060,Female
1968,Gladys,8.9444399,977,2,3,800,Female
1969,Camille,9.0555601,909,5,256,23040,Female
1970,Celia,9.4444399,945,3,22,6870,Female
1971,Edith,8.5,978,2,0,300,Female
1971,Fern,7.3888898,979,1,2,500,Female
1971,Ginger,10,995,1,0,200,Female
1972,Agnes,8.6666698,980,1,117,20430,Female
1974,Carmen,8.7222204,952,3,1,1180,Female
1975,Eloise,8.9444399,955,3,21,6190,Female
1976,Belle,10.44445,980,1,5,570,Female
1977,Babe,6.8888898,995,1,0,66,Female
1979,Bob,1.66667,986,1,1,70,Male
1979,David,1.7222199,970,2,15,2700,Male
1979,Frederic,2.5,946,3,5,12770,Male
1980,Allen,2.6666701,945,3,2,2130,Male
1983,Alicia,9.8333302,962,3,21,10400,Female
1984,Diana,9.9444399,949,2,3,410,Female
1985,Bob,1.66667,1003,1,0,130,Male
1985,Danny,2.2222199,987,1,1,160,Male
1985,Elena,9.7222204,959,3,4,4180,Female
1985,Gloria,9.5,942,3,8,3020,Female
1985,Juan,1.94444,971,1,12,4730,Male
1985,Kate,9.6666698,967,2,5,1310,Female
1986,Bonnie,9.3888903,990,1,3,6,Female
1986,Charley,2.88889,990,1,5,58,Male
1987,Floyd,1.83333,993,1,0,1,Male
1988,Florence,8.3333302,984,1,1,4,Female
1989,Chantal,9.0555601,986,1,13,290,Female
1989,Hugo,2.88889,934,4,21,20020,Male
1989,Jerry,2.3333299,983,1,3,230,Male
1991,Bob,1.66667,962,2,15,3620,Male
1992,Andrew,2.2222199,922,5,62,66730,Male
1993,Emily,9.8333302,961,3,3,96,Female
1995,Erin,7.2222199,973,2,6,1650,Female
1995,Opal,8.5,942,3,9,7550,Female
1996,Bertha,8.5,974,2,8,700,Female
1996,Fran,7.1666698,954,3,26,8260,Female
1997,Danny,2.2222199,984,1,10,200,Male
1998,Bonnie,9.3888903,964,2,3,1650,Female
1998,Earl,1.88889,987,1,3,160,Male
1998,Georges,2.2777801,964,2,1,3870,Male
1999,Bret,2.3333299,951,3,0,94,Male
1999,Floyd,1.83333,956,2,56,8130,Male
1999,Irene,9.2777796,964,1,8,1430,Female
2002,Lili,10.33333,963,1,2,1260,Female
2003,Claudette,9.1666698,979,1,3,250,Female
2003,Isabel,9.3888903,957,2,51,4980,Female
2004,Alex,4.1666698,972,1,1,5,Male
2004,Charley,2.88889,941,4,10,20510,Male
2004,Frances,6,960,2,7,12620,Female
2004,Gaston,2.6666701,985,1,8,170,Male
2004,Ivan,1.05556,946,3,25,18590,Male
2004,Jeanne,8.5,950,3,5,10210,Female
2005,Cindy,9.9444399,991,1,1,350,Female
2005,Dennis,2.4444399,946,3,15,2650,Male
2005,Katrina,,928,5,1833,,Female
2005,Ophelia,9.1666698,982,1,1,91,Female
2005,Rita,9.5,937,3,62,10690,Female
2005,Wilma,8.6111097,950,3,5,25960,Female
2007,Humberto,2.38889,985,1,1,51,Male
2008,Dolly,9.8333302,967,1,1,1110,Female
2008,Gustav,1.7222199,954,2,52,4360,Male
2008,Ike,1.88889,950,2,84,20370,Male
2011,Irene,9.2777796,952,1,41,7110,Female
2012,Isaac,1.94444,966,1,5,24000,Male
2012,Sandy,9,942,2,159,75000,Female
